,avg_runs,candies,is_possible,map_layout,num_paths,std_runs,successes,walls
325,2480.0,"(array([ 1,  2,  4,  6,  7,  8,  9, 10, 11, 13, 15, 16, 17, 18, 22],
      dtype=int64),)",False,0331313333331313333111310,0,0.0,0.0,"(array([ 3,  5, 12, 14, 19, 20, 21, 23], dtype=int64),)"
326,2480.0,"(array([ 1,  3,  4,  7,  8, 10, 11, 12, 13, 14, 15, 16, 17, 22, 23],
      dtype=int64),)",False,0313311331333333331111330,0,0.0,0.0,"(array([ 2,  5,  6,  9, 18, 19, 20, 21], dtype=int64),)"
327,2480.0,"(array([ 2,  3,  4,  5,  7,  8,  9, 10, 11, 13, 14, 17, 19, 20, 21],
      dtype=int64),)",False,0133331333331331131333110,0,0.0,0.0,"(array([ 1,  6, 12, 15, 16, 18, 22, 23], dtype=int64),)"
328,2480.0,"(array([ 1,  3,  5,  6,  8,  9, 10, 11, 12, 15, 16, 17, 19, 20, 23],
      dtype=int64),)",False,0313133133333113331331130,0,0.0,0.0,"(array([ 2,  4,  7, 13, 14, 18, 21, 22], dtype=int64),)"
329,1461.75,"(array([ 2,  3,  5,  6,  8, 10, 13, 14, 15, 16, 17, 19, 21, 22, 23],
      dtype=int64),)",True,0133133131311333331313330,2,527.8470303980122,16.0,"(array([ 1,  4,  7,  9, 11, 12, 18, 20], dtype=int64),)"
330,2480.0,"(array([ 1,  2,  4,  6,  7,  8, 10, 11, 12, 14, 15, 17, 20, 21, 22],
      dtype=int64),)",False,0331313331333133131133310,0,0.0,0.0,"(array([ 3,  5,  9, 13, 16, 18, 19, 23], dtype=int64),)"
331,2073.75,"(array([ 1,  2,  3,  4,  5,  7,  9, 10, 14, 17, 18, 19, 21, 22, 23],
      dtype=int64),)",True,0333331313311131133313330,1,534.4753385330328,9.0,"(array([ 6,  8, 11, 12, 13, 15, 16, 20], dtype=int64),)"
332,2480.0,"(array([ 1,  2,  3,  6,  7,  9, 10, 11, 12, 13, 15, 16, 17, 18, 20],
      dtype=int64),)",False,0333113313333313333131110,0,0.0,0.0,"(array([ 4,  5,  8, 14, 19, 21, 22, 23], dtype=int64),)"
333,2480.0,"(array([ 1,  2,  5,  6,  7,  8,  9, 12, 15, 16, 18, 19, 20, 21, 23],
      dtype=int64),)",False,0331133333113113313333130,0,0.0,0.0,"(array([ 3,  4, 10, 11, 13, 14, 17, 22], dtype=int64),)"
334,1840.05,"(array([ 1,  2,  4,  7,  8,  9, 11, 12, 15, 16, 17, 18, 20, 22, 23],
      dtype=int64),)",True,0331311333133113333131330,2,582.9577579036066,11.0,"(array([ 3,  5,  6, 10, 13, 14, 19, 21], dtype=int64),)"
335,2480.0,"(array([ 1,  2,  3,  4,  5, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20],
      dtype=int64),)",False,0333331111333333333131110,0,0.0,0.0,"(array([ 6,  7,  8,  9, 19, 21, 22, 23], dtype=int64),)"
336,2480.0,"(array([ 2,  3,  4,  5,  6,  7,  9, 10, 11, 13, 15, 16, 20, 21, 22],
      dtype=int64),)",False,0133333313331313311133310,0,0.0,0.0,"(array([ 1,  8, 12, 14, 17, 18, 19, 23], dtype=int64),)"
